chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 33                   2.014788             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 19                   2.864000             
1                    66                   1                    7065                 18                   3.140000             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 20                   2.808800             
1                    90                   1                    8056                 22                   2.929455             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 26                   2.930154             
1                    103                  1                    9260                 21                   3.527619             
1                    41                   1                    9589                 26                   2.950462             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 19                   3.326737             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                25                   3.209920             
1                    101                  1                    11179                31                   2.884903             
1                    44                   1                    9193                 21                   3.502095             
1                    56                   1                    8446                 22                   3.071273             
1                    68                   1                    6692                 19                   2.817684             
1                    80                   1                    7734                 22                   2.812364             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                28                   3.336000             
1                    114                  1                    10575                29                   2.917241             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    30                   1                    10373                26                   3.191692             
1                    31                   1                    10459                29                   2.885241             
1                    116                  1                    16716                41                   3.261658             
1                    29                   1                    9806                 27                   2.905482             
1                    32                   1                    9779                 26                   3.008923             
1                    40                   1                    8078                 21                   3.077333             
1                    52                   1                    8579                 23                   2.984000             
1                    64                   1                    8345                 22                   3.034545             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                25                   3.293760             
1                    100                  1                    10778                27                   3.193481             
1                    112                  1                    10192                29                   2.811586             
1                    28                   1                    9247                 22                   3.362545             
1                    125                  1                    7621                 18                   3.387111             
1                    126                  1                    8487                 23                   2.952000             
1                    127                  1                    8599                 23                   2.990957             
1                    128                  1                    11287                28                   3.224857             
1                    124                  1                    10998                30                   2.932800             
1                    45                   1                    8606                 23                   2.993391             
1                    57                   1                    7227                 18                   3.212000             
1                    69                   1                    7469                 19                   3.144842             
1                    81                   1                    9442                 25                   3.021440             
1                    93                   1                    10978                26                   3.377846             
1                    105                  1                    14274                37                   3.086270             
1                    117                  1                    16627                44                   3.023091             
1                    33                   1                    9877                 27                   2.926518             
1                    129                  1                    10865                25                   3.476800             
2                    42                   1                    8862                 27                   2.625778             
2                    43                   1                    7918                 17                   3.726118             
2                    54                   1                    7607                 19                   3.202947             
2                    55                   1                    6282                 18                   2.792000             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 19                   2.501053             
2                    78                   1                    6307                 14                   3.604000             
2                    79                   1                    6744                 20                   2.697600             
2                    90                   1                    7843                 17                   3.690824             
2                    91                   1                    8596                 22                   3.125818             
2                    102                  1                    9522                 26                   2.929846             
2                    103                  1                    9236                 26                   2.841846             
2                    44                   1                    9069                 22                   3.297818             
