chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1069                 1                    8.552000             
1                    43                   1                    1059                 2                    4.236000             
1                    54                   1                    1098                 2                    4.392000             
1                    55                   1                    1053                 2                    4.212000             
1                    66                   1                    1096                 0                    inf                  
1                    67                   1                    1080                 0                    inf                  
1                    78                   1                    1142                 2                    4.568000             
1                    79                   1                    1122                 0                    inf                  
1                    90                   1                    1068                 0                    inf                  
1                    91                   1                    1084                 2                    4.336000             
1                    102                  1                    1098                 2                    4.392000             
1                    103                  1                    1091                 0                    inf                  
1                    41                   1                    1079                 2                    4.316000             
1                    53                   1                    1076                 2                    4.304000             
1                    65                   1                    1109                 2                    4.436000             
1                    77                   1                    1103                 1                    8.824000             
1                    89                   1                    1116                 2                    4.464000             
1                    101                  1                    1185                 1                    9.480000             
1                    44                   1                    1051                 0                    inf                  
1                    56                   1                    1040                 0                    inf                  
1                    68                   1                    1035                 2                    4.140000             
1                    80                   1                    1143                 2                    4.572000             
1                    92                   1                    1103                 0                    inf                  
1                    104                  1                    1160                 2                    4.640000             
1                    114                  1                    1180                 2                    4.720000             
1                    115                  1                    1157                 2                    4.628000             
1                    113                  1                    1127                 0                    inf                  
1                    30                   1                    1060                 3                    2.826667             
1                    31                   1                    1029                 1                    8.232000             
1                    116                  1                    1198                 0                    inf                  
1                    29                   1                    1040                 2                    4.160000             
1                    32                   1                    1035                 2                    4.140000             
1                    40                   1                    1038                 2                    4.152000             
1                    52                   1                    1056                 0                    inf                  
1                    64                   1                    1090                 2                    4.360000             
1                    76                   1                    1210                 1                    9.680000             
1                    88                   1                    1132                 0                    inf                  
1                    100                  1                    1124                 3                    2.997333             
1                    112                  1                    1122                 1                    8.976000             
1                    28                   1                    1182                 2                    4.728000             
1                    125                  1                    1055                 0                    inf                  
1                    126                  1                    1084                 2                    4.336000             
1                    127                  1                    1058                 1                    8.464000             
1                    128                  1                    1137                 0                    inf                  
1                    124                  1                    1138                 2                    4.552000             
2                    42                   1                    517                  2                    2.068000             
2                    43                   1                    482                  0                    inf                  
2                    54                   1                    532                  2                    2.128000             
2                    55                   1                    482                  0                    inf                  
2                    66                   1                    521                  1                    4.168000             
2                    67                   1                    499                  0                    inf                  
2                    78                   1                    573                  1                    4.584000             
2                    79                   1                    540                  0                    inf                  
2                    90                   1                    507                  0                    inf                  
2                    91                   1                    536                  0                    inf                  
2                    102                  1                    528                  2                    2.112000             
2                    103                  1                    530                  0                    inf                  
2                    44                   1                    477                  2                    1.908000             
2                    56                   1                    468                  1                    3.744000             
