chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    17                   1                    1078                 1                    8.624000             
1                    18                   1                    1057                 2                    4.228000             
1                    19                   1                    1060                 3                    2.826667             
1                    20                   1                    1059                 1                    8.472000             
1                    29                   1                    1036                 0                    inf                  
1                    30                   1                    1055                 0                    inf                  
1                    31                   1                    1049                 2                    4.196000             
1                    32                   1                    1043                 0                    inf                  
1                    41                   1                    1031                 0                    inf                  
1                    42                   1                    1044                 1                    8.352000             
1                    43                   1                    1029                 2                    4.116000             
1                    44                   1                    1021                 0                    inf                  
1                    53                   1                    1517                 2                    6.068000             
1                    54                   1                    1035                 2                    4.140000             
1                    55                   1                    1022                 0                    inf                  
1                    56                   1                    1028                 0                    inf                  
1                    65                   1                    1258                 2                    5.032000             
1                    66                   1                    1810                 3                    4.826667             
1                    67                   1                    1051                 0                    inf                  
1                    68                   1                    1023                 2                    4.092000             
1                    77                   1                    1385                 0                    inf                  
1                    78                   1                    1423                 2                    5.692000             
1                    79                   1                    1821                 2                    7.284000             
1                    80                   1                    1060                 2                    4.240000             
1                    89                   1                    1694                 0                    inf                  
1                    90                   1                    1303                 2                    5.212000             
1                    91                   1                    1456                 2                    5.824000             
1                    92                   1                    3313                 3                    8.834666             
1                    101                  1                    3229                 1                    25.832001            
1                    102                  1                    3908                 4                    7.816000             
1                    103                  1                    2037                 1                    16.296000            
1                    104                  1                    3324                 4                    6.648000             
1                    113                  1                    3113                 2                    12.452000            
1                    114                  1                    5668                 5                    9.068800             
1                    115                  1                    3433                 5                    5.492800             
1                    116                  1                    1784                 1                    14.272000            
1                    21                   1                    1031                 2                    4.124000             
1                    33                   1                    1021                 0                    inf                  
1                    45                   1                    1028                 3                    2.741333             
1                    57                   1                    1027                 0                    inf                  
1                    69                   1                    1035                 2                    4.140000             
1                    81                   1                    1070                 0                    inf                  
1                    93                   1                    2186                 2                    8.744000             
1                    105                  1                    3079                 3                    8.210667             
1                    117                  1                    1903                 2                    7.612000             
1                    5                    1                    1055                 0                    inf                  
1                    6                    1                    1051                 0                    inf                  
1                    7                    1                    1066                 2                    4.264000             
1                    8                    1                    1075                 2                    4.300000             
1                    9                    1                    1050                 1                    8.400000             
1                    16                   1                    1108                 0                    inf                  
1                    28                   1                    1044                 2                    4.176000             
1                    40                   1                    1044                 3                    2.784000             
1                    52                   1                    2032                 1                    16.256001            
1                    64                   1                    1313                 2                    5.252000             
1                    76                   1                    1547                 1                    12.376000            
1                    88                   1                    1484                 0                    inf                  
1                    100                  1                    1158                 0                    inf                  
1                    112                  1                    1311                 3                    3.496000             
1                    4                    1                    1078                 2                    4.312000             
1                    125                  1                    2677                 2                    10.708000            
1                    126                  1                    3660                 5                    5.856000             
1                    127                  1                    3532                 1                    28.256001            
1                    128                  1                    1623                 2                    6.492000             
1                    129                  1                    1398                 1                    11.184000            
1                    124                  1                    1624                 2                    6.496000             
2                    29                   1                    477                  0                    inf                  
2                    30                   1                    505                  0                    inf                  
2                    31                   1                    480                  2                    1.920000             
2                    32                   1                    495                  0                    inf                  
2                    33                   1                    473                  3                    1.261333             
2                    41                   1                    479                  0                    inf                  
2                    42                   1                    495                  0                    inf                  
2                    43                   1                    473                  0                    inf                  
2                    44                   1                    470                  0                    inf                  
2                    45                   1                    464                  2                    1.856000             
2                    53                   1                    1233                 1                    9.864000             
