chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1461                 4                    2.922000             
1                    43                   1                    4129                 6                    5.505333             
1                    44                   1                    7364                 11                   5.355637             
1                    54                   1                    1656                 2                    6.624000             
1                    55                   1                    3972                 6                    5.296000             
1                    56                   1                    6563                 10                   5.250400             
1                    66                   1                    2780                 5                    4.448000             
1                    67                   1                    7712                 11                   5.608727             
1                    68                   1                    7083                 10                   5.666400             
1                    78                   1                    1540                 3                    4.106667             
1                    79                   1                    4134                 9                    3.674667             
1                    80                   1                    7290                 11                   5.301818             
1                    90                   1                    1818                 2                    7.272000             
1                    91                   1                    3016                 6                    4.021333             
1                    92                   1                    4257                 6                    5.676000             
1                    30                   1                    1419                 3                    3.784000             
1                    31                   1                    1129                 0                    inf                  
1                    32                   1                    3006                 8                    3.006000             
1                    102                  1                    2354                 2                    9.416000             
1                    103                  1                    2787                 3                    7.432000             
1                    104                  1                    4000                 5                    6.400000             
1                    41                   1                    1504                 2                    6.016000             
1                    53                   1                    1980                 4                    3.960000             
1                    65                   1                    2430                 2                    9.720000             
1                    77                   1                    1849                 3                    4.930666             
1                    89                   1                    2825                 6                    3.766667             
1                    29                   1                    1490                 3                    3.973333             
1                    101                  1                    3869                 2                    15.476000            
1                    45                   1                    2513                 3                    6.701334             
1                    57                   1                    2777                 5                    4.443200             
1                    69                   1                    2997                 4                    5.994000             
1                    81                   1                    2189                 2                    8.756000             
1                    93                   1                    2105                 6                    2.806667             
1                    33                   1                    1612                 0                    inf                  
1                    105                  1                    2706                 3                    7.216000             
1                    18                   1                    1067                 3                    2.845333             
1                    19                   1                    1168                 1                    9.344000             
1                    20                   1                    1037                 3                    2.765333             
1                    17                   1                    1209                 2                    4.836000             
1                    114                  1                    1925                 3                    5.133333             
1                    115                  1                    2736                 6                    3.648000             
1                    116                  1                    2704                 3                    7.210667             
1                    113                  1                    2151                 2                    8.604000             
1                    21                   1                    1029                 0                    inf                  
1                    117                  1                    2347                 5                    3.755200             
2                    30                   2                    2426                 5                    3.881600             
2                    31                   2                    1083                 4                    2.166000             
2                    42                   2                    3081                 2                    12.324000            
2                    43                   2                    18915                34                   4.450588             
2                    54                   2                    3319                 3                    8.850667             
2                    55                   2                    17868                32                   4.467000             
2                    66                   2                    7214                 11                   5.246545             
2                    67                   2                    27295                49                   4.456326             
2                    78                   2                    3887                 6                    5.182667             
2                    79                   2                    19628                35                   4.486400             
2                    90                   2                    3593                 6                    4.790667             
2                    91                   2                    12339                21                   4.700572             
2                    32                   2                    10570                20                   4.228000             
2                    44                   2                    37352                67                   4.459940             
2                    56                   1                    5955                 8                    5.955000             
2                    68                   1                    5274                 8                    5.274000             
2                    80                   1                    8044                 11                   5.850182             
2                    92                   1                    6797                 10                   5.437600             
2                    29                   1                    907                  0                    inf                  
2                    41                   1                    829                  3                    2.210667             
2                    53                   1                    1288                 2                    5.152000             
2                    65                   1                    1772                 3                    4.725333             
2                    77                   1                    1042                 0                    inf                  
2                    89                   1                    1072                 1                    8.576000             
2                    18                   1                    497                  3                    1.325333             
2                    19                   1                    580                  0                    inf                  
2                    20                   1                    462                  3                    1.232000             
2                    102                  1                    1669                 3                    4.450667             
2                    103                  1                    3381                 3                    9.016000             
2                    104                  1                    5127                 8                    5.127000             
2                    17                   1                    595                  0                    inf                  
